"Site","Monitor","Date","StartHour","Value","AppliesToNatl","AppliesToSt","CollectionMethod","QuantificationMethod"
2115,1,1999-10-27,0,19,1,1,"RP2K","GRAV"
2115,1,1999-11-02,0,18,1,1,"RP2K","GRAV"
2115,1,1999-11-10,0,15,1,1,"RP2K","GRAV"
2115,1,1999-11-14,0,43,1,1,"RP2K","GRAV"
2115,1,1999-11-20,0,16,1,1,"RP2K","GRAV"
2115,1,1999-11-26,0,49,1,1,"RP2K","GRAV"
2115,1,1999-12-02,0,12,1,1,"RP2K","GRAV"
2115,1,1999-12-08,0,22,1,1,"RP2K","GRAV"
2115,1,1999-12-14,0,25,1,1,"RP2K","GRAV"
2115,1,1999-12-20,0,15,1,1,"RP2K","GRAV"
2115,1,1999-12-26,0,73,1,1,"RP2K","GRAV"
2115,1,2000-01-01,0,50,1,1,"RP2K","GRAV"
2115,1,2000-01-07,0,55,1,1,"RP2K","GRAV"
2115,1,2000-01-13,0,17,1,1,"RP2K","GRAV"
2115,1,2000-01-19,0,12,1,1,"RP2K","GRAV"
2115,1,2000-01-25,0,15,1,1,"RP2K","GRAV"
2115,1,2000-01-31,0,10,1,1,"RP2K","GRAV"
2115,1,2000-02-06,0,17,1,1,"RP2K","GRAV"
2115,1,2000-02-12,0,4,1,1,"RP2K","GRAV"
2115,1,2000-02-18,0,11,1,1,"RP2K","GRAV"
2115,1,2000-02-24,0,15,1,1,"RP2K","GRAV"
2115,1,2000-03-01,0,11,1,1,"RP2K","GRAV"
2115,1,2000-03-07,0,6,1,1,"RP2K","GRAV"
2115,1,2000-03-13,0,8,1,1,"RP2K","GRAV"
2115,1,2000-03-19,0,5,1,1,"RP2K","GRAV"
2115,1,2000-03-25,0,13,1,1,"RP2K","GRAV"
2115,1,2000-03-31,0,6,1,1,"RP2K","GRAV"
2115,1,2000-04-06,0,11,1,1,"RP2K","GRAV"
2115,1,2000-04-12,0,10,1,1,"RP2K","GRAV"
2115,1,2000-04-18,0,3,1,1,"RP2K","GRAV"
2115,1,2000-04-24,0,5,1,1,"RP2K","GRAV"
2115,1,2000-04-30,0,6,1,1,"RP2K","GRAV"
2115,1,2000-05-06,0,5,1,1,"RP2K","GRAV"
2115,1,2000-05-12,0,4,1,1,"RP2K","GRAV"
2115,1,2000-05-18,0,6,1,1,"RP2K","GRAV"
2115,1,2000-05-24,0,8,1,1,"RP2K","GRAV"
2115,1,2000-05-30,0,5,1,1,"RP2K","GRAV"
2115,1,2000-06-05,0,6,1,1,"RP2K","GRAV"
2115,1,2000-06-11,0,5,1,1,"RP2K","GRAV"
2115,1,2000-06-17,0,5,1,1,"RP2K","GRAV"
2115,1,2000-06-23,0,11,1,1,"RP2K","GRAV"
2115,1,2000-06-29,0,11,1,1,"RP2K","GRAV"
2115,1,2000-07-05,0,7,1,1,"RP2K","GRAV"
2115,1,2000-07-13,0,8,1,1,"RP2K","GRAV"
2115,1,2000-07-17,0,9,1,1,"RP2K","GRAV"
2115,1,2000-07-23,0,6,1,1,"RP2K","GRAV"
2115,1,2000-07-29,0,8,1,1,"RP2K","GRAV"
2115,1,2000-08-04,0,7,1,1,"RP2K","GRAV"
2115,1,2000-08-10,0,5,1,1,"RP2K","GRAV"
2115,1,2000-08-16,0,6,1,1,"RP2K","GRAV"
2115,1,2000-08-23,0,13,1,1,"RP2K","GRAV"
2115,1,2000-08-28,0,10,1,1,"RP2K","GRAV"
2115,1,2000-09-03,0,5,1,1,"RP2K","GRAV"
2115,1,2000-09-09,0,10,1,1,"RP2K","GRAV"
2115,1,2000-09-15,0,10,1,1,"RP2K","GRAV"
2115,1,2000-09-21,0,9,1,1,"RP2K","GRAV"
2115,1,2000-09-28,0,21,1,1,"RP2K","GRAV"
2115,1,2000-10-03,0,12,1,1,"RP2K","GRAV"
2115,1,2000-10-09,0,8,1,1,"RP2K","GRAV"
2115,1,2000-10-15,0,10,1,1,"RP2K","GRAV"
2115,1,2000-10-21,0,3,1,1,"RP2K","GRAV"
2115,1,2000-10-27,0,10,1,1,"RP2K","GRAV"
2115,1,2000-11-02,0,13,1,1,"RP2K","GRAV"
2115,1,2000-11-08,0,23,1,1,"RP2K","GRAV"
2115,1,2000-11-14,0,19,1,1,"RP2K","GRAV"
2115,1,2000-11-20,0,98,1,1,"RP2K","GRAV"
2115,1,2000-11-26,0,46,1,1,"RP2K","GRAV"
2115,1,2000-12-02,0,43,1,1,"RP2K","GRAV"
2115,1,2000-12-08,0,70,1,1,"RP2K","GRAV"
2115,1,2000-12-14,0,12,1,1,"RP2K","GRAV"
2115,1,2000-12-20,0,43,1,1,"RP2K","GRAV"
2115,1,2000-12-26,0,61,1,1,"RP2K","GRAV"
2115,1,2001-01-03,0,56,1,1,"RP2K","GRAV"
2115,1,2001-01-11,0,6,1,1,"RP2K","GRAV"
2115,1,2001-01-13,0,27,1,1,"RP2K","GRAV"
2115,1,2001-01-19,0,65,1,1,"RP2K","GRAV"
2115,1,2001-01-25,0,6,1,1,"RP2K","GRAV"
2115,1,2001-01-31,0,54,1,1,"RP2K","GRAV"
2115,1,2001-02-06,0,7,1,1,"RP2K","GRAV"
2115,1,2001-02-12,0,10,1,1,"RP2K","GRAV"
2115,1,2001-02-21,0,8,1,1,"RP2K","GRAV"
2115,1,2001-02-24,0,4,1,1,"RP2K","GRAV"
2115,1,2001-03-02,0,20,1,1,"RP2K","GRAV"
2115,1,2001-03-08,0,18,1,1,"RP2K","GRAV"
2115,1,2001-03-14,0,11,1,1,"RP2K","GRAV"
2115,1,2001-03-20,0,8,1,1,"RP2K","GRAV"
2115,1,2001-03-26,0,6,1,1,"RP2K","GRAV"
2115,1,2001-04-01,0,9,1,1,"RP2K","GRAV"
2115,1,2001-04-07,0,8,1,1,"RP2K","GRAV"
2115,1,2001-04-13,0,9,1,1,"RP2K","GRAV"
2115,1,2001-04-19,0,7,1,1,"RP2K","GRAV"
2115,1,2001-04-25,0,8,1,1,"RP2K","GRAV"
2115,1,2001-05-01,0,5,1,1,"RP2K","GRAV"
2115,1,2001-05-07,0,8,1,1,"RP2K","GRAV"
2115,1,2001-05-13,0,9,1,1,"RP2K","GRAV"
2115,1,2001-05-19,0,7,1,1,"RP2K","GRAV"
2115,1,2001-05-25,0,9,1,1,"RP2K","GRAV"
2115,1,2001-05-31,0,6,1,1,"RP2K","GRAV"
2115,1,2001-06-06,0,4,1,1,"RP2K","GRAV"
2115,1,2001-06-13,0,3,1,1,"RP2K","GRAV"
2115,1,2001-06-18,0,4,1,1,"RP2K","GRAV"
2115,1,2001-07-12,0,8,1,1,"RP2K","GRAV"
2115,1,2001-07-18,0,9,1,1,"RP2K","GRAV"
2115,1,2001-07-30,0,5,1,1,"RP2K","GRAV"
2115,1,2001-08-02,0,7,1,1,"RP2K","GRAV"
2115,1,2001-08-05,0,4,1,1,"RP2K","GRAV"
2115,1,2001-08-09,0,9,1,1,"RP2K","GRAV"
2115,1,2001-08-11,0,6,1,1,"RP2K","GRAV"
2115,1,2001-08-17,0,7,1,1,"RP2K","GRAV"
2115,1,2001-08-23,0,3,1,1,"RP2K","GRAV"
2115,1,2001-08-29,0,12,1,1,"RP2K","GRAV"
2115,1,2001-09-04,0,6,1,1,"RP2K","GRAV"
2115,1,2001-09-10,0,14,1,1,"RP2K","GRAV"
2115,1,2001-09-16,0,10,1,1,"RP2K","GRAV"
2115,1,2001-09-22,0,12,1,1,"RP2K","GRAV"
2115,1,2001-09-28,0,6,1,1,"RP2K","GRAV"
2115,1,2001-10-04,0,15,1,1,"RP2K","GRAV"
2115,1,2001-10-10,0,14,1,1,"RP2K","GRAV"
2115,1,2001-10-16,0,21,1,1,"RP2K","GRAV"
2115,1,2001-10-22,0,13,1,1,"RP2K","GRAV"
2115,1,2001-10-28,0,13,1,1,"RP2K","GRAV"
2115,1,2001-11-06,0,32,1,1,"RP2K","GRAV"
2115,1,2001-11-09,0,31,1,1,"RP2K","GRAV"
2115,1,2001-11-15,0,23,1,1,"RP2K","GRAV"
2115,1,2001-11-21,0,11,1,1,"RP2K","GRAV"
2115,1,2001-12-01,0,6,1,1,"RP2K","GRAV"
2115,1,2001-12-03,0,11,1,1,"RP2K","GRAV"
2115,1,2001-12-09,0,5,1,1,"RP2K","GRAV"
2115,1,2001-12-15,0,35,1,1,"RP2K","GRAV"
2115,1,2001-12-21,0,17,1,1,"RP2K","GRAV"
2115,1,2001-12-30,0,7,1,1,"RP2K","GRAV"
2115,1,2002-01-02,0,4,1,1,"RP2K","GRAV"
2115,1,2002-01-08,0,32,1,1,"RP2K","GRAV"
2115,1,2002-01-14,0,30,1,1,"RP2K","GRAV"
2115,1,2002-01-20,0,45,1,1,"RP2K","GRAV"
2115,1,2002-01-26,0,15,1,1,"RP2K","GRAV"
2115,1,2002-02-01,0,30,1,1,"RP2K","GRAV"
2115,1,2002-02-07,0,27,1,1,"RP2K","GRAV"
2115,1,2002-02-13,0,31,1,1,"RP2K","GRAV"
2115,1,2002-02-19,0,8,1,1,"RP2K","GRAV"
2115,1,2002-02-25,0,9,1,1,"RP2K","GRAV"
2115,1,2002-03-03,0,10,1,1,"RP2K","GRAV"
2115,1,2002-03-09,0,15,1,1,"RP2K","GRAV"
2115,1,2002-03-15,0,14,1,1,"RP2K","GRAV"
2115,1,2002-03-21,0,14,1,1,"RP2K","GRAV"
2115,1,2002-03-27,0,5,1,1,"RP2K","GRAV"
2115,1,2002-04-02,0,8,1,1,"RP2K","GRAV"
2115,1,2002-04-08,0,9,1,1,"RP2K","GRAV"
2115,1,2002-04-14,0,6,1,1,"RP2K","GRAV"
2115,1,2002-04-20,0,6,1,1,"RP2K","GRAV"
2115,1,2002-04-27,0,6,1,1,"RP2K","GRAV"
2115,1,2002-05-02,0,7,1,1,"RP2K","GRAV"
2115,1,2002-05-08,0,5,1,1,"RP2K","GRAV"
2115,1,2002-05-14,0,6,1,1,"RP2K","GRAV"
2115,1,2002-05-20,0,3,1,1,"RP2K","GRAV"
2115,1,2002-05-27,0,1,1,1,"RP2K","GRAV"
2115,1,2002-06-01,0,12,1,1,"RP2K","GRAV"
2115,1,2002-06-13,0,9,1,1,"RP2K","GRAV"
2115,1,2002-06-19,0,4,1,1,"RP2K","GRAV"
2115,1,2002-06-25,0,9,1,1,"RP2K","GRAV"
2115,1,2002-06-27,0,8,1,1,"RP2K","GRAV"
2115,1,2002-07-01,0,6,1,1,"RP2K","GRAV"
2115,1,2002-07-07,0,4,1,1,"RP2K","GRAV"
2115,1,2002-07-13,0,9,1,1,"RP2K","GRAV"
2115,1,2002-07-19,0,9,1,1,"RP2K","GRAV"
2115,1,2002-07-25,0,6,1,1,"RP2K","GRAV"
2115,1,2002-07-31,0,23,1,1,"RP2K","GRAV"
2115,1,2002-08-06,0,8,1,1,"RP2K","GRAV"
2115,1,2002-08-12,0,16,1,1,"RP2K","GRAV"
2115,1,2002-08-18,0,21,1,1,"RP2K","GRAV"
